Name,Joint,Contact,Feats,,,,,,,,,,
fyingpan_4_3dwh1.ply,fixed,no,-0.0252783192,-0.0272547629,0.0151458614,0.0001259664,-0.013781073,-0.0082783963,-0.005879582,-0.0072434447,0.0033140163,-0.0024550312,0.0028134805
mug_3_3dwh1.ply,fixed,no,-0.0423484112,0.0407624961,-0.0201891381,0.0068782467,-0.0145032912,0.0035484006,0.0050421546,-0.0095750341,0.0059272638,-0.0037256379,-0.0150986368
chineseknife_2_3dwh1.ply,fixed,no,0.0568765693,0.0041262599,-0.0074584654,-0.0248543713,-0.0041966756,0.0042769853,0.0037599583,0.010620847,0.0077182656,-0.0068436111,-0.0001671143
plate_1_3dwh1.ply,fixed,no,-0.0040927917,-0.019196626,-0.0185789529,-0.0130286663,0.007571188,-0.0174535985,0.0079882741,0.0005452205,0.0061450486,0.00199953,0.0027252261
rod1.ply,fixed,no,0.0728106154,0.0103364169,0.008135446,0.0260830797,0.0047293102,-0.0028965527,0.0029584977,0.0032319156,-0.0042474489,-0.0050166387,-0.002450361
bowl_1_3dwh1.ply,fixed,no,-0.0371785662,-0.0233985789,-0.0285658011,0.0101579118,0.0112473688,0.0078670963,-0.0049248158,0.0065047733,-0.0039689828,-0.0014542964,0.0077329943
bottle_1_3dwh2.ply,fixed,no,-0.0502042706,0.0616548107,0.0049187056,0.0008084552,-0.0091886458,-0.0037329948,0.0001030719,0.0019893375,-0.0013407026,-0.0011427709,0.0014513277
screwdriver_3_seg2.ply,fixed,point,0.0716828056,0.0083120929,0.0047815528,0.0104589904,0.0007877474,0.0010493768,-0.0011750641,-0.0007653138,-0.0107039222,-0.0013590291,-0.0034020548
kitchenknife_5_3dwh1.ply,fixed,no,-0.0184043434,-0.0269598031,0.0137846927,-0.0002944241,-0.0172069868,-0.005720252,-0.0003429639,-0.0123709883,0.0032777776,0.002497204,0.0091741451
coin1.ply,fixed,no,-0.0358029208,-0.0344748629,0.0098769259,0.0043813624,-0.0179827655,-0.0130989812,0.0457415018,0.0125508192,-0.0136706705,0.0072019897,-0.0028624004
tablefork_19_3dwh1.ply,fixed,no,0.0632086113,0.0061878837,0.0004387668,-0.0045711131,-0.001933854,0.0009071212,4.98606604029041E-005,0.0016035391,-0.007368321,-0.0029715457,-0.0025130701
spoon_1_3dwh1.ply,fixed,no,0.0594602393,0.0035487642,0.0024741583,0.011570581,0.0038260928,-0.0061643594,-0.0007582371,-0.0043496211,-0.0004597812,0.0037121625,0.0010099964
scissor1_2.ply,revolute,point,-0.0024269919,-0.0165578133,-0.0015674543,-0.0031438618,-0.0027795743,0.0231753467,0.0042238967,-0.0013042357,0.0045722771,0.001370904,0.0003341892
pliers2_1.ply,revolute,no,-0.0307156368,-0.0012834582,-0.017648024,0.0053393341,0.0118770178,0.00885209,0.0026219693,-0.012750492,-0.0002487404,-0.0035742411,-0.0136622136
pliers1_2.ply,revolute,point,-0.0371945588,-0.0266075255,0.0040769578,0.0064793165,-0.0047255405,0.0148553392,0.0016325007,-0.0062735194,0.0035124753,0.0026588905,0.0010293506
pliers_2_seg1.ply,revolute,no,-0.037569317,-0.0235813954,0.0303538205,-0.0004928924,-0.0087277561,0.0004452689,-0.0067212457,0.0057880768,0.0029754703,-0.004714075,-0.0023301656
scissors_2_seg1.ply,revolute,no,-0.0444669675,-0.0378828824,0.0134537879,0.0079003374,-0.0108038584,0.0147013546,0.0066645225,-0.0032477845,0.0034356782,0.0074939766,0.0071087427
scissor1_1.ply,revolute,no,-0.0310214202,-0.031201315,0.0010464913,0.0024472835,0.003050796,0.0051436037,0.0089563519,0.001064556,-0.0012352619,0.0113122567,0.0009980847
pliers1_1.ply,revolute,no,-0.0428849498,-0.0302897713,-0.0062725063,0.0083521904,0.0056215549,-0.0040412305,0.0040523156,-0.0020486313,-0.0023126524,0.0012323549,-0.0059682997
pliers3_2.ply,revolute,point,-0.025633569,-0.0080823993,0.0298742779,-0.006886466,0.0036950467,0.0091967965,0.0014523777,0.0011807537,2.69891735924623E-005,0.0039686078,0.0030170502
pliers_2_seg2.ply,revolute,no,-0.0349068094,-0.0268454333,0.0300389997,0.0020101055,-0.0125973553,0.0041565771,0.0039379756,0.0083127961,-0.002384585,-0.0011057305,-0.003651709
scissors_2_seg2.ply,revolute,point,0.0512240911,-0.0013148791,-0.0020091276,-0.0073889168,-0.0018274516,0.0026169303,-0.0039393737,-0.0060671836,-0.0071792411,0.0051782207,0.0001751399
pliers3_1.ply,revolute,no,-0.0380925492,-0.0150840005,-0.0155107279,0.0067813381,0.0039411875,-0.0191825611,-0.0071860988,-0.0017306759,-0.0031887488,0.0003772689,-0.0047227006
pliers2_2.ply,revolute,no,-0.0506315985,-0.0191043606,0.0216741149,0.0058657958,0.0047784264,0.0143362532,-0.0027736468,0.0055276899,-0.0012790352,-0.0057213216,-0.0052647866
